dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,registered,cnt
2011-01-01,Spring,2011,January,0,Saturday,0,Mist/Cloudy,654,985
2011-01-02,Spring,2011,January,0,Sunday,0,Mist/Cloudy,670,801
2011-01-03,Spring,2011,January,0,Monday,1,Clear/Cloudy,1229,1349
2011-01-04,Spring,2011,January,0,Tuesday,1,Clear/Cloudy,1454,1562
2011-01-05,Spring,2011,January,0,Wednesday,1,Clear/Cloudy,1518,1600
2011-01-06,Spring,2011,January,0,Thursday,1,Clear/Cloudy,1518,1606
2011-01-07,Spring,2011,January,0,Friday,1,Mist/Cloudy,1362,1510
2011-01-08,Spring,2011,January,0,Saturday,0,Mist/Cloudy,891,959
2011-01-09,Spring,2011,January,0,Sunday,0,Clear/Cloudy,768,822
2011-01-10,Spring,2011,January,0,Monday,1,Clear/Cloudy,1280,1321
2011-01-11,Spring,2011,January,0,Tuesday,1,Mist/Cloudy,1220,1263
2011-01-12,Spring,2011,January,0,Wednesday,1,Clear/Cloudy,1137,1162
2011-01-13,Spring,2011,January,0,Thursday,1,Clear/Cloudy,1368,1406
2011-01-14,Spring,2011,January,0,Friday,1,Clear/Cloudy,1367,1421
2011-01-15,Spring,2011,January,0,Saturday,0,Mist/Cloudy,1026,1248
2011-01-16,Spring,2011,January,0,Sunday,0,Clear/Cloudy,953,1204
2011-01-17,Spring,2011,January,1,Monday,0,Mist/Cloudy,883,1000
2011-01-18,Spring,2011,January,0,Tuesday,1,Mist/Cloudy,674,683
2011-01-19,Spring,2011,January,0,Wednesday,1,Mist/Cloudy,1572,1650
2011-01-20,Spring,2011,January,0,Thursday,1,Mist/Cloudy,1844,1927
2011-01-21,Spring,2011,January,0,Friday,1,Clear/Cloudy,1468,1543
2011-01-22,Spring,2011,January,0,Saturday,0,Clear/Cloudy,888,981
2011-01-23,Spring,2011,January,0,Sunday,0,Clear/Cloudy,836,986
2011-01-24,Spring,2011,January,0,Monday,1,Clear/Cloudy,1330,1416
2011-01-25,Spring,2011,January,0,Tuesday,1,Mist/Cloudy,1799,1985
2011-01-26,Spring,2011,January,0,Wednesday,1,Light Snow/Light Rain/Cloudy,472,506
2011-01-27,Spring,2011,January,0,Thursday,1,Clear/Cloudy,416,431
2011-01-28,Spring,2011,January,0,Friday,1,Mist/Cloudy,1129,1167
2011-01-29,Spring,2011,January,0,Saturday,0,Clear/Cloudy,975,1098
2011-01-30,Spring,2011,January,0,Sunday,0,Clear/Cloudy,956,1096
2011-01-31,Spring,2011,January,0,Monday,1,Mist/Cloudy,1459,1501
2011-02-01,Spring,2011,February,0,Tuesday,1,Mist/Cloudy,1313,1360
2011-02-02,Spring,2011,February,0,Wednesday,1,Mist/Cloudy,1454,1526
2011-02-03,Spring,2011,February,0,Thursday,1,Clear/Cloudy,1489,1550
2011-02-04,Spring,2011,February,0,Friday,1,Mist/Cloudy,1620,1708
2011-02-05,Spring,2011,February,0,Saturday,0,Mist/Cloudy,905,1005
2011-02-06,Spring,2011,February,0,Sunday,0,Clear/Cloudy,1269,1623
2011-02-07,Spring,2011,February,0,Monday,1,Clear/Cloudy,1592,1712
2011-02-08,Spring,2011,February,0,Tuesday,1,Clear/Cloudy,1466,1530
2011-02-09,Spring,2011,February,0,Wednesday,1,Mist/Cloudy,1552,1605
2011-02-10,Spring,2011,February,0,Thursday,1,Clear/Cloudy,1491,1538
2011-02-11,Spring,2011,February,0,Friday,1,Clear/Cloudy,1597,1746
2011-02-12,Spring,2011,February,0,Saturday,0,Clear/Cloudy,1184,1472
2011-02-13,Spring,2011,February,0,Sunday,0,Clear/Cloudy,1192,1589
2011-02-14,Spring,2011,February,0,Monday,1,Clear/Cloudy,1705,1913
2011-02-15,Spring,2011,February,0,Tuesday,1,Clear/Cloudy,1675,1815
2011-02-16,Spring,2011,February,0,Wednesday,1,Clear/Cloudy,1897,2115
2011-02-17,Spring,2011,February,0,Thursday,1,Clear/Cloudy,2216,2475
2011-02-18,Spring,2011,February,0,Friday,1,Clear/Cloudy,2348,2927
2011-02-19,Spring,2011,February,0,Saturday,0,Clear/Cloudy,1103,1635
2011-02-20,Spring,2011,February,0,Sunday,0,Clear/Cloudy,1173,1812
2011-02-21,Spring,2011,February,1,Monday,0,Mist/Cloudy,912,1107
2011-02-22,Spring,2011,February,0,Tuesday,1,Clear/Cloudy,1376,1450
2011-02-23,Spring,2011,February,0,Wednesday,1,Clear/Cloudy,1778,1917
2011-02-24,Spring,2011,February,0,Thursday,1,Mist/Cloudy,1707,1807
2011-02-25,Spring,2011,February,0,Friday,1,Mist/Cloudy,1341,1461
2011-02-26,Spring,2011,February,0,Saturday,0,Clear/Cloudy,1545,1969
2011-02-27,Spring,2011,February,0,Sunday,0,Clear/Cloudy,1708,2402
2011-02-28,Spring,2011,February,0,Monday,1,Mist/Cloudy,1365,1446
2011-03-01,Spring,2011,March,0,Tuesday,1,Clear/Cloudy,1714,1851
2011-03-02,Spring,2011,March,0,Wednesday,1,Clear/Cloudy,1903,2134
2011-03-03,Spring,2011,March,0,Thursday,1,Clear/Cloudy,1562,1685
2011-03-04,Spring,2011,March,0,Friday,1,Mist/Cloudy,1730,1944
2011-03-05,Spring,2011,March,0,Saturday,0,Mist/Cloudy,1437,2077
2011-03-06,Spring,2011,March,0,Sunday,0,Mist/Cloudy,491,605
2011-03-07,Spring,2011,March,0,Monday,1,Clear/Cloudy,1628,1872
2011-03-08,Spring,2011,March,0,Tuesday,1,Clear/Cloudy,1817,2133
2011-03-09,Spring,2011,March,0,Wednesday,1,Mist/Cloudy,1700,1891
2011-03-10,Spring,2011,March,0,Thursday,1,Light Snow/Light Rain/Cloudy,577,623
2011-03-11,Spring,2011,March,0,Friday,1,Mist/Cloudy,1730,1977
2011-03-12,Spring,2011,March,0,Saturday,0,Clear/Cloudy,1408,2132
2011-03-13,Spring,2011,March,0,Sunday,0,Clear/Cloudy,1435,2417
2011-03-14,Spring,2011,March,0,Monday,1,Clear/Cloudy,1687,2046
2011-03-15,Spring,2011,March,0,Tuesday,1,Mist/Cloudy,1767,2056
2011-03-16,Spring,2011,March,0,Wednesday,1,Mist/Cloudy,1871,2192
2011-03-17,Spring,2011,March,0,Thursday,1,Clear/Cloudy,2320,2744
2011-03-18,Spring,2011,March,0,Friday,1,Clear/Cloudy,2355,3239
2011-03-19,Spring,2011,March,0,Saturday,0,Clear/Cloudy,1693,3117
2011-03-20,Spring,2011,March,0,Sunday,0,Clear/Cloudy,1424,2471
2011-03-21,Summer,2011,March,0,Monday,1,Mist/Cloudy,1676,2077
2011-03-22,Summer,2011,March,0,Tuesday,1,Clear/Cloudy,2243,2703
2011-03-23,Summer,2011,March,0,Wednesday,1,Mist/Cloudy,1918,2121
2011-03-24,Summer,2011,March,0,Thursday,1,Mist/Cloudy,1699,1865
2011-03-25,Summer,2011,March,0,Friday,1,Clear/Cloudy,1910,2210
2011-03-26,Summer,2011,March,0,Saturday,0,Clear/Cloudy,1515,2496
2011-03-27,Summer,2011,March,0,Sunday,0,Mist/Cloudy,1221,1693
2011-03-28,Summer,2011,March,0,Monday,1,Clear/Cloudy,1806,2028
2011-03-29,Summer,2011,March,0,Tuesday,1,Clear/Cloudy,2108,2425
2011-03-30,Summer,2011,March,0,Wednesday,1,Mist/Cloudy,1368,1536
2011-03-31,Summer,2011,March,0,Thursday,1,Light Snow/Light Rain/Cloudy,1506,1685
2011-04-01,Summer,2011,April,0,Friday,1,Mist/Cloudy,1920,2227
2011-04-02,Summer,2011,April,0,Saturday,0,Mist/Cloudy,1354,2252
2011-04-03,Summer,2011,April,0,Sunday,0,Clear/Cloudy,1598,3249
2011-04-04,Summer,2011,April,0,Monday,1,Clear/Cloudy,2381,3115
2011-04-05,Summer,2011,April,0,Tuesday,1,Mist/Cloudy,1628,1795
2011-04-06,Summer,2011,April,0,Wednesday,1,Clear/Cloudy,2395,2808
2011-04-07,Summer,2011,April,0,Thursday,1,Clear/Cloudy,2570,3141
2011-04-08,Summer,2011,April,0,Friday,1,Mist/Cloudy,1299,1471
2011-04-09,Summer,2011,April,0,Saturday,0,Mist/Cloudy,1576,2455
2011-04-10,Summer,2011,April,0,Sunday,0,Mist/Cloudy,1707,2895
2011-04-11,Summer,2011,April,0,Monday,1,Mist/Cloudy,2493,3348
2011-04-12,Summer,2011,April,0,Tuesday,1,Mist/Cloudy,1777,2034
